date_collected,link,num,type,lean
2/4/20,https://joeforamerica.com/ilhan-omars-dirty-money-hustle-blows-wide-open-reports-say-she-gave-40-of-her-campaign-spending-went-to-loverboys-firm/,151,PE,C
2/4/20,https://www.palmerreport.com/analysis/trumps-sham-acquittal-is-already-blowing-up-in-senate-republicans-faces/24893/,152,PE,L
2/4/20,https://worldtruth.tv/the-coronavirus-was-engineered-by-scientists-in-a-lab-using-well-documented-genetic-engineering-vectors-that-leave-behind-a-fingerprint/,153,S,U
2/4/20,https://ijr.com/democratic-white-house-race-messy-start-iowa/?utm_campaign=IJR%20-%20Facebook%20Content&utm_content=115077734&utm_medium=social&utm_source=facebook&hss_channel=fbp-189885532970,154,PE,N
2/4/20,https://www.cbsnews.com/live-updates/state-of-the-union-2020-president-donald-trump-tonight-2020-02-04-live-streaming/?ftag=CNM-00-10aab6a&linkId=81729456,155,PE,N
2/5/20,https://www.infowars.com/dems-release-only-62-of-iowa-caucus-results-just-enough-to-have-mayor-cheat-in-the-lead/,156,PE,C
2/5/20,https://crooksandliars.com/2020/02/susan-collins-betrays-country-vote-acquit,157,PE,L
2/5/20,https://themindunleashed.com/2020/02/earth-is-about-to-enter-a-30-year-mini-ice-age-as-the-sun-hibernates-scientist-warns.html,158,S,U
2/5/20,https://www.cnbc.com/2020/02/04/macys-to-close-125-stores-sees-480-million-in-restructuring-costs-to-2000-corporate-jobs.html?__source=newsletter|breakingnews,159,PE,N
2/5/20,https://abcnews.go.com/Politics/nancy-pelosi-rips-copy-state-union-speech-trump/story?id=68766230&cid=social_fb_abcn,160,PE,N
2/6/20,https://clashdaily.com/2020/02/john-kerry-says-that-the-entire-obama-admin-was-trying-to-get-rid-of-the-burisma-prosecutor/,161,PE,C
2/6/20,https://crooksandliars.com/2020/02/jennifer-granholm-catches-rick-santorum,162,PE,L
2/6/20,https://www.naturalnews.com/2020-02-05-lies-we-are-being-told-about-coronavirus.html,163,S,C
2/6/20,https://nypost.com/2020/02/05/trump-acquitted-in-senate-impeachment-trial/?utm_source=NYPFacebook&utm_medium=Native&utm_campaign=NYPFacebook,164,PE,N
2/6/20,https://www.theguardian.com/film/2020/feb/06/kirk-douglas-hollywood-legend-and-star-of-spartacus-dies-aged-103?CMP=fb_gu&utm_medium=Social&utm_source=Facebook#Echobox=1580945835,165,H,N
5/27/20,https://www.westernjournal.com/like-soviet-styled-kgb-armed-police-sent-shut-black-baptist-church-pastor-says/,201,PE,C
5/27/20,https://americanindependent.com/states-coronavirus-criteria-reopen-donald-trump-illinois-pandemic-covid-19/,202,S,N
5/27/20,https://www.activistpost.com/2020/05/your-immunity-passport-future-begins-to-materialize-as-airlines-call-for-digital-id-tracking-systems.html,203,S,N
5/27/20,https://www.foxnews.com/politics/house-republicans-plan-to-sue-pelosi-proxy-voting-coronavirus,204,PE,N
5/27/20,https://www.cnn.com/2020/05/27/politics/fauci-coronavirus-wear-masks-cnntv/index.html?utm_term=link&utm_source=fbCNN&utm_content=2020-05-27T14%3A09%3A07&utm_medium=social,205,S,N
6/1/20,https://www.lifezette.com/2020/05/trump-pulls-u-s-out-of-world-health-organization-is-the-u-n-next/,206,PE,C
6/1/20,https://crooksandliars.com/2020/05/republican-voters-dont-expect-trump-mourn,207,PE,L
6/1/20,https://www.zerohedge.com/markets/german-official-leaks-report-denouncing-covid-19-global-false-alarm,208,PE,C
6/1/20,https://www.cnbc.com/2020/05/21/why-partially-reopening-states-does-not-guarantee-economic-recovery.html?__source=facebook%7Cmain,209,PE,N
6/1/20,https://www.theguardian.com/world/2020/may/31/how-a-decade-of-privatisation-and-cuts-exposed-england-to-coronavirus?CMP=fb_gu&utm_medium=Social&utm_source=Facebook#Echobox=1590932943,210,PE,N
6/3/20,https://www.thegatewaypundit.com/2020/06/leftie-governor-cooper-kills-rnc-convention-charlotte-due-covid-19-goes-marches-leftist-mob-street-video/,211,PE,C
6/3/20,https://crooksandliars.com/2020/06/communities-color-have-been-hit-hardest,212,PE,L
6/3/20,https://www.wakingtimes.com/2020/06/02/contact-tracing-in-the-circus-of-robots/,213,O,C
6/3/20,https://townhall.com/tipsheet/guybenson/2020/06/02/good-news-italian-doctors-say-covid19-losing-viral-potency-becoming-less-deadly-n2569818?utm_content=buffer80dc6&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer,214,S,N
6/3/20,https://www.politico.com/news/2020/06/02/north-carolina-governor-rejects-gops-demand-for-full-fledged-convention-296566,215,PE,N
6/8/20,https://www.wnd.com/2020/06/forced-vaccinations-will-control-life-warns-religious-liberty-group/,216,S,N
6/8/20,https://crooksandliars.com/2020/06/cdc-releases-survey-finds-more-americans,217,S,L
6/8/20,https://stillnessinthestorm.com/2020/06/bill-gates-the-cdc-fauci-and-birx-now-totally-silent-about-the-mass-race-riots-across-america-proves-the-covid-19-lockdown-was-a-total-scam/,218,O,C
6/8/20,https://www.cnbc.com/2020/06/03/as-states-reopen-and-protests-rage-the-coronavirus-lays-the-foundation-for-a-nasty-fall.html?__source=facebook%7Cmain&fbclid=IwAR2m7mRjTmoiSSxAWVgU_HhA6G1jrJ2t3TgEsxgcbh-9fZ7JfyiDLhCK3XE,219,S,N
6/8/20,https://edition.cnn.com/travel/article/new-zealand-coronavirus-level-one-intl-hnk/index.html?utm_medium=social&utm_term=link&utm_content=2020-06-08T08%3A36%3A06&utm_source=fbCNN&fbclid=IwAR0aYlVyo_AJ_KP4ZE1cKK40IF7BZ5HJiDseYLLdXedZSPxB4cVeiN1vTAc&fbclid=IwAR0sgAuohh0Ai28a6axj2su-UG5lodLvZg8PAoE6uiXBnV5K1LA5P2TAg1o,220,O,N
6/10/20,https://www.louderwithcrowder.com/task-force-expect-a-spike-in-covid-thanks-to-protesters-and-rioters,221,O,C
6/10/20,https://crooksandliars.com/2020/06/new-zealand-covid-free-prime-minister-did,222,S,N
